ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,AÑO VIGENCIA,MES VIGENCIA
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,"108,984",,,,,,"2,020",4
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,,"53,450",,,,,"2,020",9
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,GRANEL LIQUIDO,,"3,051",,,,,"2,020",7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"118,024",,,,,"2,020",11
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,"1,888",,,,,"2,018",8
GUAJIRA,CERREJON ZONA NORTE S.A.,GENERAL,,"2,609",,,,,"2,018",8
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"775,335",,,,,,"2,020",5
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,33,"72,049",,,,,"2,019",12
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,327,"2,020",6
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,21,184,122,,,,"2,020",10
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,022,058",,,,,,"2,018",3
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,"183,842",,,,,,"2,018",8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"177,606",,,"2,000",,"2,020",10
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"3,459",,,,,"2,020",8
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,"1,401","1,436",,,,,"2,018",5
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,"114,697","94,888",,,,,"2,018",6
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,"12,016","13,506",,,,,"2,018",1
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,773,"2,018",10
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,8,60,0,,,,"2,018",9
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"45,252",,,,,"2,020",1
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,29,34,,,,"2,018",2
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,"20,386","2,019",3
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,,35,,,,,"2,020",3
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,"6,094",,,,,,"2,019",4
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,3,694,,,,"2,020",10
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"37,189",,,,,"2,020",2
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"120,993",,,,,,"2,020",11
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,349,"1,100",,,,"4,023","2,020",6
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"25,405",,,,,,"2,018",1
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"135,117","272,573","658,909",,,,"2,018",5
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,"8,962",,,,,,"2,019",10
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,"67,291",,,,,"2,018",11
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"49,190",,,,,"2,020",10
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,"54,376","21,745",,,,,"2,020",8
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,"5,422",,,,,"4,546","2,020",11
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"148,756",,,,,"2,019",2
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"50,047",,,,,,"2,019",9
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"27,825",,,,,"2,018",6
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,51,"22,047",,200,,,"2,019",4
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,"4,432",,,,,"2,019",2
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,"21,107","99,028",,,,,"2,020",3
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,987,"5,298",,,,,"2,018",11
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,"4,624",,,,,675,"2,018",1
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,"52,019","180,275",,,,,"2,018",10
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"45,413",,,,,"2,020",8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,"11,414",,,,,"2,019",8
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,GENERAL,"14,184",30,,,,,"2,018",9
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"10,147",,,,,,"2,020",6
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"11,000","38,002",,,,,"2,019",10
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"177,168","300,439","453,372",,,,"2,018",7
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,910,758",,,,,,"2,020",2
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,"124,813","161,789","906,569",,,,"2,018",2
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,"87,124",,,,,"2,018",7
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,133,"285,094",,,,,"2,018",2
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"16,558",,,,,"2,020",8
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"101,815",,,,,,"2,019",5
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"55,703",,,,,,"2,019",12
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,295,608",,,,,,"2,020",7
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,045","2,019",9
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"64,679",,,,,"2,019",11
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"5,500",,,,,"2,020",7
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,"47,158","176,548",,,,47,"2,019",6
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,"23,766",,,,,"2,018",4
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"137,002",,,,,,"2,019",12
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,50,"87,530",,,"15,125",934,"2,018",7
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"60,103",,,,,"2,018",12
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,"3,460","7,817",,,,,"2,020",5
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"57,090",,,,,,"2,018",10
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,0,,"2,020",7
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,"18,622","10,035",,,,,"2,019",1
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"321,679",,,,,"2,020",2
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"65,787","109,018","408,552",,,,"2,019",8
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,"2,200",,,,,"2,176","2,018",11
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,GENERAL,"10,639",,,,,,"2,018",5
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"156,979",,,,,,"2,018",12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"142,049",,,,,,"2,018",4
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,314,918,,,,"4,895","2,020",10
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,"47,657",,,,,"2,018",1
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,"82,484","14,935",,,,"11,289","2,018",5
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,"20,923",,,,,"2,020",1
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"1,452","2,018",3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"139,777","178,914","34,232",,,,"2,019",12
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"5,099","2,018",8
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,,"1,960",,,,,"2,019",3
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL LIQUIDO,,"3,000",,,,,"2,020",8
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,"1,799",,,,,"54,532","2,019",8
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,"4,796","12,338",282,,,,"2,019",10
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"5,984","2,019",12
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"102,700",,,,,,"2,020",5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,"3,003",,,,,"2,020",11
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,359","2,018",11
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,103,,,,,"2,018",7
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,90,"22,496",2,,,,"2,019",12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"132,096",,,,,,"2,019",1
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,"74,116",,,,,,"2,018",4
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,715,489",,,,,,"2,018",6
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"37,639",,,,,"2,019",5
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,11,92,,,,,"2,018",9
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"121,140","56,516",,,,,"2,019",8
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,,,,,,"31,653","2,019",3
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"4,228",,,,,"2,020",6
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"138,193",,,,,,"2,020",10
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"63,287","95,536","288,832",,,,"2,018",12
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"58,057",,,,,,"2,018",9
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,"304,046","71,275",,,,"125,098","2,019",11
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,72,,,,"4,142","2,020",1
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,,"9,264",,,,,"2,018",1
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,43,"8,481",393,,,"3,169","2,018",10
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"289,415",,,,,"2,020",4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,"42,056","64,324",,26,,0,"2,020",9
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,GENERAL,"13,233",5,,,,,"2,020",6
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,,"20,630",,,,"1,137","2,020",6
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"72,842","105,855","340,910",,,,"2,019",9
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,"116,885","206,256","1,298,752",,,,"2,019",4
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,5,292,108,,,,"2,018",11
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,"49,115","192,473",,,,,"2,019",4
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,667,,,,,"2,019",4
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,"7,680","275,599",,,,,"2,019",12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,,"22,069",30,,,"18,688","2,020",6
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"4,794","2,018",5
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,"104,504",,,,,"2,018",2
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"3,252","2,020",7
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GENERAL,"7,500",,,,,,"2,018",3
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,254","2,020",1
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,"1,366","2,018",1
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"126,241",,,,,"2,018",3
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,"171,810","244,663","1,432,272",,,"63,640","2,020",10
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,,"30,493",,,,,"2,019",12
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"37,849",,,,,,"2,019",2
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,,"49,633",,,,,"2,018",8
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,,,,,"2,888","2,020",10
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,"39,601",,,,,"2,020",11
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,460,539",,,,,,"2,020",11
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CARBON AL GRANEL,,"77,000",,,,,"2,019",3
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,GENERAL,"45,860",0,,,,,"2,020",10
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,"1,681,532",,,,,,"2,019",12
GUAJIRA,CERREJON ZONA NORTE S.A.,GENERAL,,"1,358",,,,,"2,018",3
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"25,656",,,,,"2,018",2
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,901,"14,929",,,,,"2,018",1
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"397,712",,,,"53,129","2,019",12
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,,,,,,"1,034","2,018",2
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"104,988",,,,,"2,020",4
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"36,638",,,,,"2,018",4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,57,"36,968",,,,572,"2,018",9
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"43,282","13,960",,,,"4,089","2,018",4
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"39,062",,,,,,"2,020",5
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,"8,672",,,,,,"2,019",4
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"2,017","6,419",,,,,"2,019",10
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"51,585",,,,,"2,020",1
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,"21,121",,,,,"2,019",7
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"1,155","7,344",,,,,"2,018",2
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,52,348,,,,,"2,019",8
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"34,243",,,,,"2,018",5
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"97,200",,,,,,"2,020",10
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,"24,040",,,,,"2,019",9
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,"3,776","2,019",9
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,"795,849",,,,,,"2,019",3
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,78,,,,,"2,018",4
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,CONTENEDORES,"72,077","90,156","270,124",,,,"2,019",2
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"13,972",,,,,"2,019",2
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,106,"7,122",,,,,"2,019",6
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"11,744",,,,"1,189","2,020",5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,"3,095",,,,,"2,018",6
TURBO,PROMOTORA BANANERA S.A,GENERAL,"1,256",,,,,,"2,020",5
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,"4,000",,"2,019",7
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,"39,702","38,169",,,"3,548",,"2,019",9
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,54,148,400,,,,"2,019",8
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,68,293,,,,,"2,020",10
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"1,550","2,019",5
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,"969,935",,,,,,"2,018",7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"127,553",,,,876,"2,018",3
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"3,933","2,020",8
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"28,500",,,,,"2,020",9
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,436,"4,188",7,,,,"2,018",7
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,803,,,,,"2,020",10
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,311,722",,,,,,"2,018",12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL SOLIDO DIFER. DE CARBON,,,,,,81,"2,020",3
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,"32,122",,,,,,"2,019",3
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,"90,343",,,,,"2,018",3
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,,"3,579",,212,,"7,813","2,019",10
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"59,398",,,,,"2,019",6
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,"342,187","67,157",,,,"71,449","2,019",9
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,,,,,"5,313","2,018",9
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"162,289",,,,,,"2,018",3
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"52,280",,"2,018",8
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"6,601",,"7,020",,,"2,019",3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,"6,159","71,819",,,,,"2,020",5
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,"12,799",,,,,"2,864","2,019",7
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,"1,667,472",,,,,,"2,019",6
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"9,000","5,532",,,,,"2,020",2
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"70,696","130,133","18,261",,,,"2,020",12
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,"2,946","2,614",,,,,"2,019",12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,"130,881",,,,,,"2,019",2
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,"5,128","2,020",7
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"56,390","21,302","1,486",,,"1,073","2,018",10
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"52,264","8,596",,,,525,"2,018",9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,"195,164",,,,,"2,020",7
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"3,081,495",,,,,,"2,019",5
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"73,450",,,,,"2,018",7
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"42,040",,,,,,"2,019",5
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,"10,019",,,,,,"2,019",6
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,141,,,,,"2,019",9
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"59,742",,"2,020",1
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"104,860",,,,,,"2,019",2
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,,17,6,,,,"2,020",4
