ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,AÑO VIGENCIA,MES VIGENCIA
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,,,,,"2,960","2,020",5
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,275,"11,846","2,564",,,690,"2,018",12
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"98,082",,,,,"2,019",10
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"60,291",,,,,,"2,020",1
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"16,137","5,338",,,,"34,909","2,020",9
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"168,880",,,,,,"2,019",11
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,"3,334","2,020",9
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"2,825,483",,,,,,"2,019",5
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,129,,"2,020",11
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,"179,372",,,,,"2,018",1
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,"9,000","382,970",,,,,"2,019",11
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,,,,,,"4,075","2,018",11
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"4,213","15,178",,,,,"2,019",8
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,602,147",,,,,,"2,018",1
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CARBON AL GRANEL,,"18,244",,,,,"2,020",5
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,"6,246",,,,,,"2,018",7
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,152,64,,,,,"2,018",8
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,"13,709",,,,,"2,019",4
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,"12,429",,,,,"2,018",9
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,"73,746",,"2,019",12
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"19,084",,,,,"2,019",10
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"72,258",,,,,"2,018",12
TURBO,PROMOTORA BANANERA S.A,GENERAL,4,,,,,,"2,018",11
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"73,650",,,,,,"2,019",3
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,"10,006","2,019",5
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,"1,210",,,,,"2,020",7
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,"11,853","4,028",,,,,"2,019",10
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,"1,629","3,572",908,,,128,"2,020",8
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"415,259",,,,"19,164","2,019",1
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"1,844","2,019",4
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"3,897",,,,,"2,020",2
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"83,673",,,,,"2,018",10
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,"6,174",,,,,"2,018",4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,"1,096","24,958",,,,,"2,018",5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,"38,835","71,616",,,,,"2,018",5
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"151,998",,,,,"2,018",1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"26,886","27,634","3,865",,,"29,848","2,019",8
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"68,550",,,,,"2,019",7
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,17,502,,,,"2,020",2
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,44,34,1,,,,"2,019",5
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,"29,357","10,809",,,,,"2,019",1
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,111,,"2,019",9
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"85,590","162,275","22,893",,,,"2,020",11
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,783,"2,019",1
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,"37,156",,,,,"2,019",11
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,111,,,,,,"2,020",6
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"6,536",,,,,"2,019",6
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"7,135","8,938",,,,,"2,018",4
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,"5,531",,,,,"2,018",6
G. MORROSQUILLO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"661,618",,,,,,"2,019",10
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,"14,514","2,020",10
G. MORROSQUILLO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"713,790",,,,,,"2,019",1
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,"67,132",,,,,,"2,020",12
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"75,262",,,,,,"2,020",6
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,"10,014","21,382","10,116","15,755",,,"2,019",11
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,"2,484","10,617","4,643",,,,"2,020",1
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"34,124",,,,,"2,020",12
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,"12,226","41,915",,,,,"2,020",8
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,,344,,,,"2,019",2
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,270,,,,,"2,020",9
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"64,833","138,162","82,314",,,,"2,018",5
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,,208,1,,,,"2,018",11
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,"8,066",,,,,336,"2,018",4
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,,108,,,,,"2,018",12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,379,280,,,48,"2,020",7
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"5,566","2,019",2
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,614,743",,,,,,"2,018",8
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,"6,000","29,850",,,,,"2,018",10
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"2,079","2,019",12
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,190,"10,960",,,,"2,653","2,018",12
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,"58,032",,,,,"2,020",6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,,"4,042",,,,,"2,020",2
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"5,517",,,,,"2,020",12
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"49,181",,,,,"2,020",5
G. MORROSQUILLO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"1,281,248",,,,,,"2,020",2
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,405","2,019",7
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"7,405","14,384",,,,,"2,018",5
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"13,033",,,,,"2,018",4
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,225,181",,,,,,"2,018",2
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,"73,164",,,,,"2,020",8
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,"128,936",,"2,018",5
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,"78,145",,,,,"2,019",10
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,"12,599",,,,,"2,018",11
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"74,661",,,,,,"2,018",6
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,84,"1,888",,,,"2,018",8
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,"11,753",,,,"19,404","2,020",8
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,14,177,24,,,,"2,020",2
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,"7,447",,,,,"2,018",12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,"124,991",,,,,"2,020",12
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,"12,952","3,694",,,,,"2,018",3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"177,239",,,,,"2,018",10
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,984,824",,,,,,"2,018",11
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"73,597",,"2,019",8
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,"27,598","2,018",8
